,0,1,2,3,4,5,6
0,group1,group2,meandiff,p-adj,lower,upper,reject
1,AsianFSMBoys,AsianFSMGirls,5.72,0.0038,1.0958,10.3442,True
2,AsianFSMBoys,AsianNonFSMBoys,10.0,0.0,5.3758,14.6242,True
3,AsianFSMBoys,AsianNonFSMGirls,15.08,0.0,10.4558,19.7042,True
4,AsianFSMBoys,BlackFSMBoys,-4.32,0.0923,-8.9442,0.3042,False
5,AsianFSMBoys,BlackFSMGirls,3.3,0.454,-1.3242,7.9242,False
6,AsianFSMBoys,BlackNonFSMBoys,2.98,0.6266,-1.6442,7.6042,False
7,AsianFSMBoys,BlackNonFSMGirls,10.26,0.0,5.6358,14.8842,True
8,AsianFSMBoys,MixedFSMBoys,-7.46,0.0,-12.0842,-2.8358,True
9,AsianFSMBoys,MixedFSMGirls,-1.42,0.9991,-6.0442,3.2042,False
10,AsianFSMBoys,MixedNonFSMBoys,6.8,0.0002,2.1758,11.4242,True
11,AsianFSMBoys,MixedNonFSMGirls,12.16,0.0,7.5358,16.7842,True
12,AsianFSMBoys,WhiteFSMBoys,-12.0,0.0,-16.6242,-7.3758,True
13,AsianFSMBoys,WhiteFSMGirls,-6.8,0.0002,-11.4242,-2.1758,True
14,AsianFSMBoys,WhiteNonFSMBoys,4.86,0.03,0.2358,9.4842,True
15,AsianFSMBoys,WhiteNonFSMGirls,10.0,0.0,5.3758,14.6242,True
16,AsianFSMGirls,AsianNonFSMBoys,4.28,0.0996,-0.3442,8.9042,False
17,AsianFSMGirls,AsianNonFSMGirls,9.36,0.0,4.7358,13.9842,True
18,AsianFSMGirls,BlackFSMBoys,-10.04,0.0,-14.6642,-5.4158,True
19,AsianFSMGirls,BlackFSMGirls,-2.42,0.8812,-7.0442,2.2042,False
20,AsianFSMGirls,BlackNonFSMBoys,-2.74,0.7502,-7.3642,1.8842,False
21,AsianFSMGirls,BlackNonFSMGirls,4.54,0.0596,-0.0842,9.1642,False
22,AsianFSMGirls,MixedFSMBoys,-13.18,0.0,-17.8042,-8.5558,True
23,AsianFSMGirls,MixedFSMGirls,-7.14,0.0001,-11.7642,-2.5158,True
24,AsianFSMGirls,MixedNonFSMBoys,1.08,1.0,-3.5442,5.7042,False
25,AsianFSMGirls,MixedNonFSMGirls,6.44,0.0006,1.8158,11.0642,True
26,AsianFSMGirls,WhiteFSMBoys,-17.72,0.0,-22.3442,-13.0958,True
27,AsianFSMGirls,WhiteFSMGirls,-12.52,0.0,-17.1442,-7.8958,True
28,AsianFSMGirls,WhiteNonFSMBoys,-0.86,1.0,-5.4842,3.7642,False
29,AsianFSMGirls,WhiteNonFSMGirls,4.28,0.0996,-0.3442,8.9042,False
30,AsianNonFSMBoys,AsianNonFSMGirls,5.08,0.0182,0.4558,9.7042,True
31,AsianNonFSMBoys,BlackFSMBoys,-14.32,0.0,-18.9442,-9.6958,True
32,AsianNonFSMBoys,BlackFSMGirls,-6.7,0.0003,-11.3242,-2.0758,True
33,AsianNonFSMBoys,BlackNonFSMBoys,-7.02,0.0001,-11.6442,-2.3958,True
34,AsianNonFSMBoys,BlackNonFSMGirls,0.26,1.0,-4.3642,4.8842,False
35,AsianNonFSMBoys,MixedFSMBoys,-17.46,0.0,-22.0842,-12.8358,True
36,AsianNonFSMBoys,MixedFSMGirls,-11.42,0.0,-16.0442,-6.7958,True
37,AsianNonFSMBoys,MixedNonFSMBoys,-3.2,0.5071,-7.8242,1.4242,False
38,AsianNonFSMBoys,MixedNonFSMGirls,2.16,0.9482,-2.4642,6.7842,False
39,AsianNonFSMBoys,WhiteFSMBoys,-22.0,0.0,-26.6242,-17.3758,True
40,AsianNonFSMBoys,WhiteFSMGirls,-16.8,0.0,-21.4242,-12.1758,True
41,AsianNonFSMBoys,WhiteNonFSMBoys,-5.14,0.0158,-9.7642,-0.5158,True
42,AsianNonFSMBoys,WhiteNonFSMGirls,0.0,1.0,-4.6242,4.6242,False
43,AsianNonFSMGirls,BlackFSMBoys,-19.4,0.0,-24.0242,-14.7758,True
44,AsianNonFSMGirls,BlackFSMGirls,-11.78,0.0,-16.4042,-7.1558,True
45,AsianNonFSMGirls,BlackNonFSMBoys,-12.1,0.0,-16.7242,-7.4758,True
46,AsianNonFSMGirls,BlackNonFSMGirls,-4.82,0.0328,-9.4442,-0.1958,True
47,AsianNonFSMGirls,MixedFSMBoys,-22.54,0.0,-27.1642,-17.9158,True
48,AsianNonFSMGirls,MixedFSMGirls,-16.5,0.0,-21.1242,-11.8758,True
49,AsianNonFSMGirls,MixedNonFSMBoys,-8.28,0.0,-12.9042,-3.6558,True
50,AsianNonFSMGirls,MixedNonFSMGirls,-2.92,0.6587,-7.5442,1.7042,False
51,AsianNonFSMGirls,WhiteFSMBoys,-27.08,0.0,-31.7042,-22.4558,True
52,AsianNonFSMGirls,WhiteFSMGirls,-21.88,0.0,-26.5042,-17.2558,True
53,AsianNonFSMGirls,WhiteNonFSMBoys,-10.22,0.0,-14.8442,-5.5958,True
54,AsianNonFSMGirls,WhiteNonFSMGirls,-5.08,0.0182,-9.7042,-0.4558,True
55,BlackFSMBoys,BlackFSMGirls,7.62,0.0,2.9958,12.2442,True
56,BlackFSMBoys,BlackNonFSMBoys,7.3,0.0,2.6758,11.9242,True
57,BlackFSMBoys,BlackNonFSMGirls,14.58,0.0,9.9558,19.2042,True
58,BlackFSMBoys,MixedFSMBoys,-3.14,0.5396,-7.7642,1.4842,False
59,BlackFSMBoys,MixedFSMGirls,2.9,0.6693,-1.7242,7.5242,False
60,BlackFSMBoys,MixedNonFSMBoys,11.12,0.0,6.4958,15.7442,True
61,BlackFSMBoys,MixedNonFSMGirls,16.48,0.0,11.8558,21.1042,True
62,BlackFSMBoys,WhiteFSMBoys,-7.68,0.0,-12.3042,-3.0558,True
63,BlackFSMBoys,WhiteFSMGirls,-2.48,0.8605,-7.1042,2.1442,False
64,BlackFSMBoys,WhiteNonFSMBoys,9.18,0.0,4.5558,13.8042,True
65,BlackFSMBoys,WhiteNonFSMGirls,14.32,0.0,9.6958,18.9442,True
66,BlackFSMGirls,BlackNonFSMBoys,-0.32,1.0,-4.9442,4.3042,False
67,BlackFSMGirls,BlackNonFSMGirls,6.96,0.0001,2.3358,11.5842,True
68,BlackFSMGirls,MixedFSMBoys,-10.76,0.0,-15.3842,-6.1358,True
69,BlackFSMGirls,MixedFSMGirls,-4.72,0.0408,-9.3442,-0.0958,True
70,BlackFSMGirls,MixedNonFSMBoys,3.5,0.3543,-1.1242,8.1242,False
71,BlackFSMGirls,MixedNonFSMGirls,8.86,0.0,4.2358,13.4842,True
72,BlackFSMGirls,WhiteFSMBoys,-15.3,0.0,-19.9242,-10.6758,True
73,BlackFSMGirls,WhiteFSMGirls,-10.1,0.0,-14.7242,-5.4758,True
74,BlackFSMGirls,WhiteNonFSMBoys,1.56,0.9976,-3.0642,6.1842,False
75,BlackFSMGirls,WhiteNonFSMGirls,6.7,0.0003,2.0758,11.3242,True
76,BlackNonFSMBoys,BlackNonFSMGirls,7.28,0.0001,2.6558,11.9042,True
77,BlackNonFSMBoys,MixedFSMBoys,-10.44,0.0,-15.0642,-5.8158,True
78,BlackNonFSMBoys,MixedFSMGirls,-4.4,0.079,-9.0242,0.2242,False
79,BlackNonFSMBoys,MixedNonFSMBoys,3.82,0.2224,-0.8042,8.4442,False
80,BlackNonFSMBoys,MixedNonFSMGirls,9.18,0.0,4.5558,13.8042,True
81,BlackNonFSMBoys,WhiteFSMBoys,-14.98,0.0,-19.6042,-10.3558,True
82,BlackNonFSMBoys,WhiteFSMGirls,-9.78,0.0,-14.4042,-5.1558,True
83,BlackNonFSMBoys,WhiteNonFSMBoys,1.88,0.9843,-2.7442,6.5042,False
84,BlackNonFSMBoys,WhiteNonFSMGirls,7.02,0.0001,2.3958,11.6442,True
85,BlackNonFSMGirls,MixedFSMBoys,-17.72,0.0,-22.3442,-13.0958,True
86,BlackNonFSMGirls,MixedFSMGirls,-11.68,0.0,-16.3042,-7.0558,True
87,BlackNonFSMGirls,MixedNonFSMBoys,-3.46,0.3734,-8.0842,1.1642,False
88,BlackNonFSMGirls,MixedNonFSMGirls,1.9,0.9827,-2.7242,6.5242,False
89,BlackNonFSMGirls,WhiteFSMBoys,-22.26,0.0,-26.8842,-17.6358,True
90,BlackNonFSMGirls,WhiteFSMGirls,-17.06,0.0,-21.6842,-12.4358,True
91,BlackNonFSMGirls,WhiteNonFSMBoys,-5.4,0.0085,-10.0242,-0.7758,True
92,BlackNonFSMGirls,WhiteNonFSMGirls,-0.26,1.0,-4.8842,4.3642,False
93,MixedFSMBoys,MixedFSMGirls,6.04,0.0016,1.4158,10.6642,True
94,MixedFSMBoys,MixedNonFSMBoys,14.26,0.0,9.6358,18.8842,True
95,MixedFSMBoys,MixedNonFSMGirls,19.62,0.0,14.9958,24.2442,True
96,MixedFSMBoys,WhiteFSMBoys,-4.54,0.0596,-9.1642,0.0842,False
97,MixedFSMBoys,WhiteFSMGirls,0.66,1.0,-3.9642,5.2842,False
98,MixedFSMBoys,WhiteNonFSMBoys,12.32,0.0,7.6958,16.9442,True
99,MixedFSMBoys,WhiteNonFSMGirls,17.46,0.0,12.8358,22.0842,True
100,MixedFSMGirls,MixedNonFSMBoys,8.22,0.0,3.5958,12.8442,True
101,MixedFSMGirls,MixedNonFSMGirls,13.58,0.0,8.9558,18.2042,True
102,MixedFSMGirls,WhiteFSMBoys,-10.58,0.0,-15.2042,-5.9558,True
103,MixedFSMGirls,WhiteFSMGirls,-5.38,0.0089,-10.0042,-0.7558,True
104,MixedFSMGirls,WhiteNonFSMBoys,6.28,0.0009,1.6558,10.9042,True
105,MixedFSMGirls,WhiteNonFSMGirls,11.42,0.0,6.7958,16.0442,True
106,MixedNonFSMBoys,MixedNonFSMGirls,5.36,0.0094,0.7358,9.9842,True
107,MixedNonFSMBoys,WhiteFSMBoys,-18.8,0.0,-23.4242,-14.1758,True
108,MixedNonFSMBoys,WhiteFSMGirls,-13.6,0.0,-18.2242,-8.9758,True
109,MixedNonFSMBoys,WhiteNonFSMBoys,-1.94,0.9791,-6.5642,2.6842,False
110,MixedNonFSMBoys,WhiteNonFSMGirls,3.2,0.5071,-1.4242,7.8242,False
111,MixedNonFSMGirls,WhiteFSMBoys,-24.16,0.0,-28.7842,-19.5358,True
112,MixedNonFSMGirls,WhiteFSMGirls,-18.96,0.0,-23.5842,-14.3358,True
113,MixedNonFSMGirls,WhiteNonFSMBoys,-7.3,0.0,-11.9242,-2.6758,True
114,MixedNonFSMGirls,WhiteNonFSMGirls,-2.16,0.9482,-6.7842,2.4642,False
115,WhiteFSMBoys,WhiteFSMGirls,5.2,0.0137,0.5758,9.8242,True
116,WhiteFSMBoys,WhiteNonFSMBoys,16.86,0.0,12.2358,21.4842,True
117,WhiteFSMBoys,WhiteNonFSMGirls,22.0,0.0,17.3758,26.6242,True
118,WhiteFSMGirls,WhiteNonFSMBoys,11.66,0.0,7.0358,16.2842,True
119,WhiteFSMGirls,WhiteNonFSMGirls,16.8,0.0,12.1758,21.4242,True
120,WhiteNonFSMBoys,WhiteNonFSMGirls,5.14,0.0158,0.5158,9.7642,True
